Step,Train Loss,Test Accuracy
0,0.0905213749450114,0.97
1,0.10539440903812647,0.963
2,0.09613614141320188,0.963
3,0.08238656509460675,0.971
4,0.07094852048386302,0.971
5,0.06657977559500271,0.971
6,0.0572127065103915,0.974
7,0.054108147209303244,0.972
8,0.04762163738099237,0.976
9,0.04417558901218904,0.972
10,0.04011670382331229,0.977
11,0.03795983606639008,0.975
12,0.037015772548814614,0.975
13,0.03352639872787727,0.976
14,0.031398020213883784,0.978
15,0.02994167193149527,0.975
16,0.030160762064365878,0.975
17,0.027367076453649334,0.974
18,0.02663312844104237,0.975
19,0.026711016810602613,0.973
20,0.02614063476212323,0.975
21,0.023266712865895694,0.974
22,0.023411032443659174,0.973
23,0.02289988257818752,0.976
24,0.02211674117586679,0.977
25,0.020956781773000126,0.973
26,0.020835150793815652,0.976
27,0.01959732218593773,0.978
28,0.019661749195721414,0.975
29,0.01884370408176134,0.977
30,0.01909128436818719,0.975
31,0.018467865242726273,0.978
32,0.01801438798300094,0.976
33,0.018304145299933024,0.974
34,0.017714783642441036,0.975
35,0.016690793824899526,0.973
36,0.01679921216952304,0.974
37,0.016204602617977393,0.977
38,0.015740987790438036,0.978
39,0.01535496425607966,0.977
40,0.015527888188242085,0.976
41,0.015542161526779334,0.977
42,0.015387374566247065,0.975
43,0.014648234150889847,0.975
44,0.014623795467842784,0.975
45,0.0144776642581241,0.977
46,0.013511192997814052,0.974
47,0.014159031000195279,0.975
48,0.014251770658625497,0.975
49,0.013092651730403304,0.972
50,0.01360683930106461,0.974
51,0.013508524481828014,0.975
52,0.013520732299528188,0.974
53,0.012372686651845773,0.976
54,0.011811090273679131,0.972
55,0.013045210921619501,0.971
56,0.012560890728814734,0.97
57,0.011977427675285273,0.973
58,0.012037151436217957,0.973
59,0.012649410308545663,0.971
60,0.011761134974141088,0.972
61,0.011719684879709449,0.972
62,0.011352710449136794,0.972
63,0.011161435822335383,0.973
64,0.010860159742231998,0.973
65,0.011718374943464166,0.974
66,0.01143880703020841,0.973
67,0.010575293389976852,0.973
68,0.010144472016125089,0.974
69,0.010929227113309833,0.975
70,0.011237596539366576,0.97
71,0.01060089683936288,0.973
72,0.009809965839506024,0.973
73,0.01037282508590983,0.973
74,0.010612283005482621,0.97
75,0.01043026570437683,0.97
76,0.010265121267487605,0.969
77,0.009979263074799544,0.972
78,0.009927948960103095,0.97
79,0.010383296018052433,0.97
80,0.009460501101178428,0.972
81,0.00939068656363007,0.972
82,0.009221969433646235,0.974
