Step,Train Loss,Test Accuracy
0,4.606519298553467,0.0
1,4.584327182769775,0.001
2,4.537953859965007,0.099
3,4.381817134221395,0.1
4,3.72941312789917,0.1
5,3.3335103368759156,0.1
6,3.1665310780207316,0.1
7,3.0865615018208823,0.106
8,3.053910233179728,0.124
9,3.035475697517395,0.123
10,3.0054974047342937,0.128
11,2.9844290177027384,0.129
12,2.975572080612183,0.126
13,2.959732205073039,0.123
14,2.9421911334991453,0.13
15,2.943545951843262,0.132
16,2.932317744890849,0.134
17,2.9282582902908327,0.134
18,2.9124789730707805,0.115
19,2.908018938700358,0.138
20,2.8989188496271767,0.124
21,2.889555125236511,0.138
22,2.8912977377573648,0.116
23,2.8773681131998696,0.1315
24,2.8745203002293906,0.1385
25,2.8756552441914875,0.127
26,2.8589646752675373,0.1415
27,2.862819218635559,0.1405
28,2.8658924039204914,0.1395
29,2.8665786933898927,0.1405
30,2.856552014350891,0.133
31,2.852323055267334,0.1405
32,2.8456441164016724,0.138
33,2.843755138715108,0.13
34,2.8316768980026246,0.1485
35,2.822790511449178,0.152
36,2.8199744828542075,0.148
37,2.8215828545888266,0.15
38,2.8199021100997923,0.15
39,2.8169251441955567,0.146
40,2.811453866958618,0.154
41,2.8055247831344605,0.1415
42,2.804368656476339,0.1565
43,2.8015252447128294,0.1545
44,2.8078588469823202,0.155
45,2.8033475128809613,0.1535
46,2.802861647605896,0.1505
47,2.793164118131002,0.1505
48,2.7865157238642375,0.1565
49,2.7917089303334555,0.1485
50,2.787554969787598,0.1485
51,2.7819200929005943,0.1505
52,2.784224925041199,0.1555
53,2.780701134999593,0.16
54,2.7811677074432373,0.1595
55,2.774782706896464,0.1545
56,2.7690987809499106,0.155
57,2.766945994695028,0.159
58,2.767652676900228,0.167
59,2.767807987531026,0.1625
60,2.767407536506653,0.16
61,2.772251385052999,0.1565
62,2.756743138631185,0.159
63,2.755275691350301,0.164
64,2.759036389986674,0.1625
65,2.7655114873250324,0.1605
66,2.750594906806946,0.167
67,2.74944695631663,0.1705
68,2.750367732048035,0.16
69,2.7504856316248576,0.167
70,2.7474209038416544,0.167
71,2.746360306739807,0.1675
72,2.7439896392822267,0.1675
73,2.741501537958781,0.162
74,2.742863032023112,0.1655
75,2.7394994846979777,0.1705
76,2.7411854759852092,0.1725
77,2.7407696278889975,0.169
78,2.743954765001933,0.1615
79,2.736581983566284,0.1625
80,2.7366339763005576,0.161
81,2.7411435890197753,0.164
82,2.7422257804870607,0.1685
83,2.73088880221049,0.1735
84,2.733439696629842,0.169
85,2.7334740352630615,0.168
86,2.728317370414734,0.1755
87,2.7319849888483683,0.1735
88,2.7304132604599,0.171
89,2.726269547144572,0.174
90,2.7262554725011188,0.177
91,2.7201464970906577,0.1835
92,2.7200784238179523,0.181
93,2.713811470667521,0.185
94,2.7123334868748983,0.18
95,2.712542093594869,0.182
96,2.7110990381240843,0.1875
97,2.70749516805013,0.178
98,2.707194749514262,0.1865
99,2.704371190071106,0.174
100,2.6993198871612547,0.1785
101,2.6989861965179442,0.178
102,2.695984344482422,0.181
103,2.6941779025395713,0.189
104,2.6886425987879434,0.189
105,2.692918028831482,0.1885
106,2.6889120308558145,0.187
107,2.6856231276194253,0.1975
108,2.6800719833374025,0.1895
109,2.6783970562616983,0.1905
110,2.6824671665827435,0.1995
111,2.6802125692367555,0.192
112,2.6827289056777954,0.187
113,2.6711864948272703,0.2005
114,2.668775143623352,0.194
115,2.669853026072184,0.199
116,2.6648328812917073,0.2035
117,2.662904526392619,0.205
118,2.662489070892334,0.2025
119,2.654085715611776,0.2085
120,2.6529780197143555,0.2065
121,2.649404722849528,0.2065
122,2.6463177076975506,0.213
123,2.642348877588908,0.2125
124,2.6393243424097697,0.2125
125,2.6353997627894086,0.211
126,2.6346273692448934,0.2075
127,2.627516498565674,0.2135
128,2.6213448174794514,0.214
129,2.623038495381673,0.215
130,2.6212708075841267,0.2175
131,2.6174126148223875,0.2125
132,2.606839516957601,0.2205
133,2.6111300365130106,0.2155
134,2.604821866353353,0.225
135,2.5985535033543905,0.22
136,2.5942184782028197,0.2185
137,2.592546609242757,0.221
138,2.5824703963597617,0.2165
139,2.5812637718518574,0.2295
140,2.578498464425405,0.231
141,2.576393953959147,0.2195
142,2.576261396408081,0.228
143,2.5770398704210917,0.2305
144,2.572219808896383,0.2265
145,2.563469444910685,0.2255
146,2.557267123858134,0.231
147,2.554514954090118,0.236
148,2.5488569005330404,0.2325
149,2.549958697160085,0.237
150,2.5444035371144613,0.235
151,2.550305984814962,0.2415
152,2.5382864538828533,0.231
153,2.536700688203176,0.2365
154,2.5366289989153543,0.2335
155,2.5273260641098023,0.2385
156,2.527270537217458,0.2435
157,2.523300970395406,0.235
158,2.5182373603185018,0.242
159,2.5171665287017824,0.245
160,2.515374751885732,0.244
161,2.513308744430542,0.2445
162,2.51126007159551,0.2395
163,2.509991460641225,0.2355
164,2.5037650926907857,0.2405
165,2.4958856463432313,0.2405
166,2.494807198047638,0.2415
167,2.4908967542648317,0.246
168,2.4900657590230306,0.2405
169,2.488590954939524,0.253
170,2.493262190024058,0.2465
171,2.488421983718872,0.257
172,2.4876235365867614,0.2525
173,2.484003697236379,0.254
